iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density
COL,South America,Colombia,9/23/21,4946811,1608,1537,126032,26,35.714,96493.316,31.366,29.981,2458.401,0.507,0.697,0.96,0,0,0,0,0,0,0,0,49750,25177071,491.108,0.97,44645,0.871,0.041,24.4,tests performed,39270198,25662320,16423702,0,212285,157566,76.6,50.06,32.04,0,3074,102853,0.201,46.3,51265841,44.223
COL,South America,Colombia,1/26/22,5798799,17889,24897,133019,282,226,113112.335,348.946,485.645,2594.691,5.501,4.408,0.79,0,0,0,0,0,0,0,0,66955,31815726,620.603,1.306,74251,1.448,0.415,2.4,tests performed,0,0,0,0,0,238065,0,0,0,0,4644,76768,0.15,59.26,51265841,44.223
DEU,Europe,Germany,3/3/20,196,37,25.571,0,0,0,2.336,0.441,0.305,0,0,0,3.01,0,0,0,0,0,0,46,0.548,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,25,83900471,237.016
DEU,Europe,Germany,7/6/20,198064,541,431.714,9022,-1,6.571,2360.702,6.448,5.146,107.532,-0.012,0.078,0.95,312,3.719,0,0,0,0,263,3.135,0,0,0,0,73294,0.874,0,0,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,63.43,83900471,237.016
DEU,Europe,Germany,11/8/20,682624,14510,19754,11372,66,122.714,8136.116,172.943,235.446,135.542,0.787,1.463,1.18,2905,34.624,0,0,0,0,6900,82.24,0,25245604,300.899,0,233533,2.783,0.079,12.7,tests performed,0,0,0,0,0,0,0,0,0,0,0,0,0,62.04,83900471,237.016
DEU,Europe,Germany,3/13/21,2569864,10568,9673.286,73369,21,202.571,30629.911,125.959,115.295,874.477,0.25,2.414,1.18,2719,32.407,0,0,0,0,4701,56.031,0,0,0,0,180787,2.155,0,0,tests performed,9520056,6583290,2936830,31,241321,254834,11.35,7.85,3.5,0,3037,199068,0.237,77.78,83900471,237.016
DEU,Europe,Germany,7/16/21,3749944,1565,1084.143,91367,21,19.286,44695.148,18.653,12.922,1088.993,0.25,0.23,1.3,379,4.517,0,0,0,0,392,4.672,0,0,0,0,87599,1.044,0,0,tests performed,86356906,50162973,38434000,1145,664170,603481,102.93,59.79,45.81,0,7193,163733,0.195,67.59,83900471,237.016
DEU,Europe,Germany,11/18/21,5271961,58768,44941,98751,207,193.857,62835.893,700.449,535.647,1177.002,2.467,2.311,1.29,3431,40.894,0,0,1980,23.599,9595,114.362,0,0,0,0,253041,3.016,0,0,tests performed,117096469,58645485,56503310,5327695,584504,335183,139.57,69.9,67.35,6.35,3995,49224,0.059,45.83,83900471,237.016
EGY,Africa,Egypt,4/21/20,3490,157,162.857,264,14,12.286,33.475,1.506,1.562,2.532,0.134,0.118,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,84.26,104258327,97.999
EGY,Africa,Egypt,8/24/20,97478,138,126.857,5280,18,15.286,934.966,1.324,1.217,50.643,0.173,0.147,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,62.96,104258327,97.999
